Dates,03-25-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
8 Iron,0,45.5,R3.7,17.1,2928,R18.0,2784,R907,2.4,28.1,42.9,R2.3,19.6,L1.2,R4.9,-4.8,23.6
8 Iron,1,41.5,R4.0,14.1,3499,R14.1,3392,R855,1.4,20.1,34.1,R1.5,15.6,L1.7,R5.4,-4.9,19.7
8 Iron,2,38.5,R7.4,17.9,3083,R18.4,2926,R972,1.8,20.4,32.3,R2.8,19.9,R0.4,R9.1,-5.1,24.5
8 Iron,3,42.3,R2.7,14.4,2842,R13.2,2767,R649,1.5,21.1,36.2,R1.2,15.7,L0.0,L0.0,0.0,0.0
8 Iron,4,43.6,R2.1,15.7,2410,R5.3,2400,R223,1.9,24.0,39.7,R0.9,17.3,R0.4,R2.5,-4.5,21.7
8 Iron,5,45.0,R3.4,16.9,2559,R13.1,2492,R581,2.3,27.2,42.5,R1.9,19.2,R0.0,R4.2,-4.1,23.1
,Average,42.7,R3.9,16.0,2887,R13.7,2794,R698,1.9,23.5,37.9,R1.8,17.9,L0.3,R4.4,-3.9,18.8
,Deviation,1.1,1.7,1.4,354,4.3,322,253.4,0.3,2.9,3.7,0.6,1.8,0.8,2.8,1.8,8.5
9 Iron,0,37.4,R1.5,15.9,3536,R13.2,3442,R806,1.4,17.8,29.1,R0.6,17.5,L0.2,R1.9,-5.3,22.1
9 Iron,1,38.6,R0.7,11.9,3333,R16.7,3193,R956,0.9,15.1,29.2,R0.4,12.9,L2.1,R1.4,-5.4,17.0
9 Iron,2,36.1,R1.4,13.3,3616,R9.4,3567,R591,0.9,14.3,26.0,R0.4,14.1,L2.3,R2.3,-3.3,18.2
9 Iron,3,39.8,R1.5,18.4,2921,R6.9,2900,R348,2.0,22.5,34.7,R0.7,20.6,L0.4,R2.0,-4.7,25.1
9 Iron,4,42.2,R3.6,20.0,3170,R12.7,3092,R698,2.7,26.7,38.5,R2.0,22.9,L0.2,R4.6,-5.1,27.3
,Average,38.8,R1.7,15.9,3315,R11.8,3239,R680,1.6,19.3,31.5,R0.8,17.6,L1.0,R2.4,-4.7,21.9
,Deviation,0.9,1.0,3.0,251,3.4,240,205.2,0.6,4.3,4.1,0.6,3.8,1.0,1.1,0.7,3.9
P-Wedge,0,39.8,R3.1,21.1,4121,R6.8,4092,R490,2.7,24.7,33.6,R1.5,24.1,R0.4,R3.8,-3.6,28.3
P-Wedge,1,37.7,R0.2,21.3,2925,R7.5,2900,R381,2.4,22.2,32.3,R0.2,23.8,L2.6,R0.8,-5.4,29.0
P-Wedge,2,38.2,R1.6,21.5,3468,R5.8,3450,R348,2.5,22.9,32.0,R0.7,24.4,L1.2,R2.3,-3.0,28.6
P-Wedge,3,40.7,R1.6,21.7,3733,R11.4,3659,R740,2.9,26.0,35.5,R1.1,24.8,R0.6,R1.9,-3.8,29.1
P-Wedge,4,38.9,R2.5,24.0,3419,R8.2,3384,R490,3.1,25.2,33.5,R1.3,27.1,R1.7,R2.7,-2.5,31.7
,Average,39.1,R1.8,21.9,3533,R8.0,3497,R490,2.7,24.2,33.3,R1.0,24.8,L0.2,R2.3,-3.7,29.3
,Deviation,0.5,1.0,1.1,393,1.9,388,137.5,0.3,1.3,1.1,0.4,1.2,1.5,1.0,1.0,1.2
G-Wedge,0,38.1,R0.2,22.1,4511,R7.2,4475,R565,2.6,23.4,31.0,R0.3,24.8,L0.0,L0.0,0.0,0.0
G-Wedge,1,40.5,L0.2,18.0,4303,R10.2,4234,R765,2.1,23.1,33.4,R0.2,20.5,L1.6,R0.1,-6.1,25.0
G-Wedge,2,47.4,R0.5,8.2,2711,R15.1,2617,R706,0.7,17.0,39.8,R0.3,8.5,L0.5,R0.7,-4.9,12.3
G-Wedge,3,37.9,R1.9,21.4,4955,R13.9,4810,R1190,2.5,22.7,30.2,R1.1,24.0,L3.6,R3.3,-5.3,29.1
G-Wedge,4,35.8,R1.8,16.6,3471,R14.6,3359,R872,1.3,16.6,27.1,R0.7,17.8,L1.7,R2.7,-5.0,22.8
,Average,39.9,R0.9,17.3,3990,R12.2,3899,R820,1.8,20.5,32.3,R0.5,19.1,L1.5,R1.4,-4.3,17.8
,Deviation,1.8,0.9,5.0,801,3.0,801,210.1,0.7,2.8,3.9,0.3,5.9,1.2,1.4,2.2,10.5
S-Wedge,0,37.8,L1.6,22.0,4593,R14.3,4451,R1131,2.6,23.0,30.5,L0.1,24.9,L5.4,L0.7,-5.7,29.9
S-Wedge,1,41.4,R1.8,14.9,4050,R17.2,3868,R1198,1.5,20.8,33.7,R1.0,16.7,L3.1,R3.1,-6.4,21.1
S-Wedge,2,36.2,R13.8,14.7,3713,R34.7,3053,R2114,1.1,15.1,27.0,R3.7,15.6,R1.6,R16.9,-5.0,20.5
S-Wedge,3,34.4,L0.0,19.1,4389,R13.0,4276,R990,1.6,17.1,25.2,R0.2,20.5,L1.5,R0.3,-6.1,26.3
S-Wedge,4,34.1,R0.4,26.5,4962,R10.7,4876,R923,2.9,20.9,25.9,R0.5,29.2,L5.1,R1.8,-6.0,35.7
S-Wedge,5,32.3,R0.6,25.0,5260,R1.7,5258,R157,2.3,18.4,23.1,R0.2,27.4,R0.5,R0.7,-5.3,33.6
S-Wedge,6,33.6,R0.7,25.3,4898,R8.0,4851,R681,2.6,19.8,25.0,R0.4,27.6,L1.2,R1.2,-5.1,33.9
,Average,35.7,R2.3,21.1,4552,R14.2,4376,R1028,2.1,19.3,27.2,R0.8,23.1,L2.0,R3.3,-5.7,28.7
,Deviation,1.3,4.8,4.6,503,9.5,684,549.1,0.6,2.2,3.1,1.2,5.1,2.5,5.6,0.5,5.8
L-Wedge,0,38.2,R1.6,29.0,5948,R7.2,5901,R749,4.3,27.3,31.1,R1.1,33.1,R0.4,R2.0,-4.6,38.6
L-Wedge,1,35.3,L0.0,33.8,4121,R5.8,4100,R415,4.6,24.4,28.1,R0.2,37.5,L0.3,R0.0,-1.0,43.7
L-Wedge,2,37.0,L1.2,23.1,5770,R19.1,5452,R1889,2.7,23.0,28.9,R0.2,26.3,L5.9,L0.0,-6.4,31.5
L-Wedge,3,29.9,R0.6,29.8,5451,R11.9,5335,R1123,2.7,17.2,20.2,R0.4,32.1,L4.1,R1.7,-4.9,39.5
L-Wedge,4,29.1,R1.6,28.5,5463,R10.7,5368,R1014,2.4,16.0,19.1,R0.6,30.8,L2.0,R2.5,-5.6,38.0
L-Wedge,5,32.7,R1.1,28.5,5927,R10.6,5826,R1090,3.0,20.1,23.5,R0.7,31.3,L3.8,R2.3,-5.9,38.1
,Average,33.7,R0.6,28.8,5447,R10.9,5330,R1047,3.3,21.3,25.2,R0.5,31.8,L2.6,R1.4,-4.7,38.2
,Deviation,1.5,1.0,3.1,625,4.2,592,448.3,0.8,3.6,4.1,0.3,3.3,2.2,1.0,1.8,3.6
